 ;Project;Projectnaam;Rente;Looptijd;Risico classificatie;Graydon rating;Status project;Investering;Status investering;Toegezegd;Overmaken;Voldaan;Aantal betaalde termijnen;Laatste volgnummer;Laatste betaling;Betaalde fee;Ontvangen aflossing;Ontvangen rente;Nog te ontvangen aflossing;Nog te ontvangen rente
1;7315;Nigor.net;8,00 %;36;3;BBB;Lopend;€ 1.000,00;Investeringsbedrag ontvangen;18-07-2014;13-08-2014;14-08-2014;1;1;29-09-2014;€ 9,00;€ 24,78;€ 6,43;€ 975,22;€ 117,05
1;6592;Amsterdam Canal Hotel;6,50 %;48;1;;Lopend;€ 1.000,00;Investeringsbedrag ontvangen;17-05-2014;23-06-2014;05-06-2014;3;3;26-09-2014;€ 9,00;€ 55,39;€ 15,50;€ 944,61;€ 118,71
1;6540;Cookie Culture;9,00 %;48;5;A;Lopend;€ 1.000,00;Investeringsbedrag ontvangen;23-04-2014;27-05-2014;13-05-2014;4;4;29-09-2014;€ 9,00;€ 70,81;€ 28,07;€ 929,19;€ 158,42
1;4742;SHARK ENERGY;9,00 %;60;5;B;Lopend;€ 1.000,00;Investeringsbedrag ontvangen;09-03-2014;09-04-2014;27-03-2014;6;6;12-10-2014;€ 9,00;€ 81,75;€ 41,79;€ 918,25;€ 193,51
